Product,Current Stock,Predicted Demand (7 days),Restock Quantity
Aarogya Biscuits 100GM,18,13,-
Aloevera Body Cleanser Set 150GMx3,16,3,-
Abhayarishtha 450ML,1,1,-
Aloevera Gel 150ML,23,9,-
Aastha Agarbati Buddha Bambooless 80GM,5,3,-
Abhrak Bhasm 5GM,2,1,-
Almond Oil 50ML,2,1,-
Amla Aloevera Juice Wheat Grass 500ML,3,1,-
Atta Noodle Desi Masala 60GM,211,15,-
Bandhani Hing 50GM,11,1,-
Butter Cookies 40GM,18,1,-
DANT KANTI ADVANCE COMBO 100 + 100 GM,17,4,-
Almond Hair Oil 100ML,1,2,1
Aloevera Amla Juice 500ML,1,1,-
Amastha Awaleh 250GM,3,1,-
Arjun Churan 100GM,7,2,-
Apple Cider Vinegar 450ML,1,1,-
Aloevera Juice with Fibre 1LTR,1,1,-
Anti Wrinkle Cream,4,1,-
Arshogrit Tab 60,1,1,-
Ashwagandha Churna 100 GM,2,2,-
Atta Noodle Chatpata 60GM,102,21,-
Ayurh Tab 40,3,1,-
BP Grit Tab 60,4,1,-
Adore Amla Powder 100GM,8,1,-
Cardiogrit Gold Tab 20,1,1,-
COW GHEE 500 ML (PATANJALI),10,1,-
GODHAN ARKA 500 ML (AXIOM),2,1,-
Aloevera Guava 1Ltr,1,1,-
Acidogrit Tab 60,3,1,-
Aloevera Gel Kesar 150ML,3,1,-
Anardana Goli 100GM,6,9,3
Arshkalp Vati 80 Tab,3,1,-
Agni Ballabh Chhar,3,1,-
Ajmodadi Churna 100GM,2,1,-
Amla Murraba 1KG,3,1,-
Arjunaristha,3,1,-
